outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Male;Yes;2555;Cat;False;tabby;orange ;white;domestic longhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;point;seal;;snowshoe;
Adoption;Male;Yes;730;Cat;False;;blue;white;domestic shorthair;
Transfer;Male;Yes;4745;Cat;False;;black;white;domestic longhair;
Return to Owner;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;cream ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;white;brown;domestic shorthair;
Euthanasia;Female;Yes;730;Cat;False;tabby;brown;;domestic longhair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;2555;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;No;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;90;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;;white;black;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;blue;white;domestic shorthair;
Transfer;Female;No;210;Cat;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;180;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;210;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;180;Cat;False;tabby;brown;;domestic shorthair;
Missing;Female;No;120;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;180;Cat;True;tortie;Breed Specific;;maine coon;
Adoption;Male;Yes;30;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;black;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;3285;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;Yes;3285;Cat;False;;black;white;domestic longhair;
Adoption;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;365;Cat;False;;blue;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;1825;Cat;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;point;blue;;siamese;
Transfer;Female;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;210;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;240;Cat;False;;gray;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Return to Owner;Male;Yes;180;Cat;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Died;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;2190;Cat;False;;black;;domestic longhair;
Adoption;Male;Yes;2190;Cat;True;tabby;orange ;white;maine coon;
Transfer;Female;Yes;730;Cat;False;torbie;Breed Specific;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown ;white;domestic longhair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;;black;white;domestic mediumhair;
Transfer;Male;No;120;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;30;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;brown ;black;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Female;Yes;4015;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;300;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;240;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic mediumhair;
Transfer;Female;Yes;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;gray;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;1460;Cat;False;;white;gray;domestic shorthair;
Transfer;Female;No;210;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;white;black;domestic shorthair;
Transfer;Male;No;365;Cat;True;;white;;siamese;
Transfer;Male;No;150;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;orange ;white;domestic shorthair;
